F41G3.12	G5EG68
T22B11.5	O61199
Y39A1A.23	Q95Q27
K08F8.6	Q93442
F07F6.4	Q09531
Y110A7A.3	Q9N587
F21F3.5	Q23022
R02E12.8	Q21645
F27B3.2	Q9N5U8
T09A5.3	P45963
ZK973.5	Q9N4M3
R01E6.4	G5EDF1
F18G5.4	P54245
Y73B6BL.42	Q65XS8
K11G12.7	Q93149
T08G11.5	P48181
Y48B6A.4	Q9U298
C40C9.2	Q18556
D2092.3	P91197
F25G6.4	O16926
T05C12.2	Q22224
K11G12.2	P48182
C35C5.5	Q93329
ZC504.2	Q23355
C46A5.2	Q18651
C07A4.1	Q93194
Y46G5A.13	Q9U2F5
C08B11.6	Q09443
Y39C12A.1	Q9U2L2
F26F4.12	Q95QI6
B0240.3	Q8I4N4
ZK455.2	Q23496
Y105C5B.2	Q9U317
H05G16.1	O17905
F52D10.6	G5EDC0
R02F2.4	Q21650
F42A9.2	Q20318
T12D8.4	O45782
ZK938.4	Q23674
F48F7.7	Q20577
R06B9.1	O17981
R06B9.3	O17982
Y17G7B.11	Q9XXI4
C04E12.11	O76684
F35F10.11	Q9GYT5
R06B9.4	O17983
R06B9.2	O17984
C04E12.12	O76685
F48F7.8	G5ECC2
T20D4.6	P91469
F35F10.12	Q9GYT4
R186.7	Q95ZQ5
R17.2	O18005
W02G9.5	O61903
C17H1.9	Q7YX94
C15A11.3	Q93212
K05C4.11	Q9XUU2
T10B10.5	Q22372
Y6G8.3	O01709
T06A10.3	A3QMD6
F25E5.4	O76652
K10D3.2	G5ECQ1
R03E9.4	P52192
K04G11.5	Q93849
T02C1.1	Q03605
F25B4.2	Q22967
T07F12.1	Q22323
F09C12.8	Q8IG34
F55A11.11	Q86D20
F53B6.7	Q9XVN0
C52E4.7	Q18784
F09C12.2	Q19243
F59B1.8	O61882
F35G12.2	Q20049
C37E2.1	Q93353
B0244.8	Q09967
R01H2.3	Q21629
C17E4.4	Q93229
F49B2.6	G5EGH4
R03G8.4	Q21673
T16G12.1	Q22531
R03G8.6	Q9XVV9
Y42A5A.1	Q9U2H2
F10D2.9	G5EGH6
W06D12.3	G5ED44
BE0003N10.1	Q965N3
H32C10.3	Q9TYQ6
K09E2.2	Q21393
ZK337.2	O46016
T22C8.5	Q22678
F28H7.8	Q19895
C04F6.3	Q11174
C08H9.13	Q17839
M01B2.6	Q9XU76
R09D1.8	Q21864
T19H5.1	Q22598
R09D1.6	Q21862
T10D4.3	Q9TZF2
T01C4.1	Q94298
C08H9.14	Q17840
R09D1.5	Q21861
R09D1.10	Q21866
C08H9.10	Q17834
C45E5.2	Q18644
R09D1.7	Q21863
C08H9.11	Q17835
R09D1.2	Q21858
Y22D7AL.14	Q965P2
R09D1.3	Q21859
ZK938.6	Q23675
R09D1.1	Q21857
T13H5.3	Q22468
T19H5.2	Q22596
C08H9.7	Q17837
F07G11.9	O16237
C08H9.6	Q17841
C08H9.12	Q17836
R09D1.14	Q9NAN7
Y37D8A.6	Q9XWW3
T23B3.4	P91487
DY3.1	O45319
ZK757.2	P34680
Y59A8B.21	Q9GRY3
C49F8.2	Q18712
F59F5.1	G5ECR3
F32D8.15	A8WHR8
C54G4.4	Q18849
T07H6.5	Q22328
R05D11.3	Q21735
F20H11.2	O01737
Y111B2A.15	O77081
F42G9.8	Q20351
F17C8.6	Q19526
H28G03.6	Q9TXP3
B0035.12	Q17430
C42D4.8	Q18566
F13B12.1	Q19375
Y76A2B.1	G5EDS2
T19B4.2	P91457
Y7A9A.1	O18256
T19H12.6	O01610
Y37D8A.1	Q9XWV3
Y43F8C.20	Q7YWQ8
ZK185.2	O44196
ZK1053.6	O02340
ZK858.1	G5EFL0
F59A3.9	P91361
C18B2.6	Q18077
C24G7.1	P91103
F23B2.3	O45402
F27D4.5	Q93619
Y38A8.3	Q23238
C41C4.6	Q09275
B0286.3	Q10457
F57B10.8	O44734
C01G12.8	G5EFV6
B0365.3	P90735
C02E7.1	O16436
F56C9.1	P48727
F25B3.4	Q27496
C27B7.6	P48460
C34D4.2	Q27475
W09C3.6	O02658
R13A5.11	Q95Y86
C24H11.1	Q9U3P4
Y69E1A.4	Q9XW33
R03D7.8	Q09598
C25A6.1	Q4R171
F23B12.1	Q27495
F44B9.9	P34430
Y40H4A.2	Q9XW30
Y71G12B.30	Q4W5Q9
T03F1.5	P91420
F20D6.6	Q19646
T25B9.2	Q27528
F26B1.5	P91273
F49E11.7	Q27500
R08C7.8	Q21840
C30A5.4	P34350
T16G12.7	K8FE09
F52H3.6	Q27501
F42G8.8	O44507
C47A4.3	Q9U3L7
F58G1.3	O62272
R08A2.2	Q9U395
C09H5.7	O16334
C06A1.3	P48458
F22D6.9	Q27494
ZC477.2	Q23345
C24H11.2	Q9XVD6
C05A2.1	G5EC18
ZK354.9	P91569
ZK938.1	G5ECL6
C07A4.3	Q93193
F09B9.5	Q7YX44
C07A4.2	Q93192
F58E2.5	Q9TZ02
ZK384.1	O62507
R02D3.8	Q9TZZ9
F37H8.5	O17861
ZK669.3	Q23570
ZK669.2	Q23569
K07D4.8	O76576
R07E5.4	Q21830
Y18D10A.2	Q9XW24
C52D10.12	A3QM97
C33D12.2	Q22904
R04E5.2	Q9GYL2
C01H6.6	Q17586
R13G10.4	G5ED05
M02F4.3	Q21469
K03A11.3	G5EE18
C18B12.3	Q93246
T27E9.2	O45864
K11H12.2	P91374
T27C10.6	Q9TZM3
F22B3.4	Q19699
B0365.7	G5EDV4
T21E12.4	Q19020
F18C12.1	Q19542
C03C10.5	P42172
ZC513.6	Q23359
F32A11.6	Q9XV46
F38C2.5	O45491
F52E1.1	G5EF15
C09G9.6	G5EC86
Y60A9.3	Q9U1Y2
Y57G11C.25	O18251
AH6.5	Q09436
Y116A8C.19	Q9U2V2
F38C2.7	O45493
Y116A8C.17	Q9U2V4
C35D6.4	O45289
Y116A8C.20	Q9U2V1
W02A2.7	Q9XUB2
F54D1.1	Q20763
B0280.17	Q2V4X2
F47G4.3	Q9XTS4
M03F8.4	O16374
F54D10.8	Q9TZ82
T09E11.8	O02308
C13A2.5	O16873
K08D9.6	Q9TXN1
D1014.6	Q95ZW7
F59C6.8	Q93834
C49A1.5	O17676
E03H4.5	O17745
F46F5.7	Q9TXY2
C18G1.7	O61918
ZK1025.7	Q9XXM0
F55C10.4	Q20806
F39G3.2	O16275
F36F12.1	O76403
K06H6.4	O17105
T05B11.4	Q22213
C14C6.7	O44671
Y97E10B.1	Q965R1
T06A1.5	O61929
C17A2.2	O16536
F07G11.3	O16232
D1014.5	Q18918
R08C7.4	Q21841
C14C6.8	O44672
F36F12.2	O76399
K08D9.2	Q9TXN2
T15D6.10	O02317
Y47D3B.1	Q9XX03
C33H5.2	Q18416
C01G5.9	Q9TXQ7
F36F12.4	O76397
Y105C5B.25	Q9NAL8
T06A1.1	O61930
C18G1.6	O61919
C31B8.7	O16900
F28H7.7	Q19894
ZK488.6	O17018
C13A2.2	O16877
ZK488.5	O17019
C13A2.6	O16871
C13A2.1	O16878
R05A10.6	O45703
T15D6.12	O02319
M02F4.2	Q21470
C14C6.6	O44670
T22D1.1	Q9GZH0
C35A5.5	Q18473
K02H11.4	O61984
ZK381.2	Q23469
F22F7.3	Q9GZF2
F07G11.4	O16230
F22F7.4	Q9GZF4
C05C8.8	O16316
C13A2.11	O16875
K08D9.5	Q9TXN3
C36E8.4	Q18501
F40E10.4	G5EFX6
T06D8.7	Q22252
T17A3.1	G5ED65
W04G5.6	O18174
Y50D4B.6	Q9N4T2
C08H9.5	Q17833
M176.7	P34892
R09D1.12	Q21867
W04G5.10	Q95ZK1
R09D1.13	Q21868
ZK938.5	Q23677
T17A3.8	O76695
T01G5.1	O18008
F35H10.7	Q20069
T12F5.3	O76743
T21G5.3	P34689
B0414.6	O01836
C55B7.1	Q966L9
F35H8.3	Q20082
Y105C5B.29	Q7YWS9
F38C2.2	O45489
F38C2.8	Q86D08
DY3.3	O45320
C34E10.7	P46581
K07D4.2	O76578
F42H11.2	G5EGA3
F44E5.15	E7EM38
C45G3.3	O45303
C45G3.5	G5EF84
Y53G8AR.9	Q9N3F7
H06H21.6	Q8WTJ4
F54G8.4	Q03601
ZK112.2	P34611
C01H6.2	Q17583
C48B6.8	O01514
B0491.1	Q17515
ZC84.2	Q03611
C23H5.7	O61827
F36F2.5	G5EEE2
K10B2.5	Q09994
Y49E10.19	Q9XTT4
Y43F8C.14	Q9XWN6
F57B7.4	Q20930
D1081.2	Q18955
C04A11.3	O17566
F21F3.1	P91268
T19B4.1	P83388
Y71G12B.4	Q95XM2
F33H2.3	O62220
T19H12.2	O01615
F52A8.6b	Q19143
C08F8.7	O01312
C04G6.3	G5EDU3
F31D5.2	Q19932
C34F6.10	G5EF49
R12E2.2	O61794
B0495.4	Q8T5S1
B0395.1	G5EDH8
Y92H12A.2	Q9BKW4
F32H2.5	P91871
F32H2.6	P91866
C41A3.1	Q18559
T04D1.4	O61845
Y46H3A.6	O61397
ZK688.8	P34678
F15B9.4	Q19479
F13H10.1	Q19424
K06H7.6	P34514
Y55B1AL.2	Q9N390
Y37D8A.25	Q7YTJ3
T28F12.3	Q9N5D3
F58F9.7	Q20992
F38B2.3	Q20139
F47C12.2	Q20531
F57C2.1	O45593
F59H6.8	Q9N5Q1
F47C10.2	O01560
Y53C10A.4	Q9XW53
F44B9.10	Q8MQ50
B0478.3	Q17508
Y52B11A.8	Q9U256
W04G3.7	Q23168
C31H1.5	Q18339
R05D8.9	Q9N5G2
C01G12.5	O45236
R05D8.8	Q9N5G3
C06B8.3	O17574
F01G4.2	Q19102
C52E12.3	Q18779
ZK1098.9	P34608
C38D4.9	Q18511
Y105E8A.14	Q8WQB0
C55A6.1	O17719
C02B8.6	Q11096
C26B9.6	Q18199
B0361.7	Q10944
T13B5.3	O17373
R13H4.3	P90949
T21B6.2	Q22630
C27A2.4	E7EM29
F26C11.1	Q09549
C27A2.12	E7EM30
F14E5.4	Q19461
Y71H2AM.16	Q9BL40
F52E1.8	Q20662
F13D11.1	Q19390
C05C10.4	Q09451
EGAP2.3	Q19076
T16D1.2	Q22525
C05C10.1	Q09448
F35H12.3	P52166
C18E3.8	O02100
ZK524.1	Q01608
R05H5.5	Q21765
F40E3.7	B3WFU9
F48A11.1	G5EBQ8
T25G3.2	G5ECD6
C49C8.5	Q18705
C44H9.4	Q18633
C34F6.8	O17643
T05E8.1	O01596
Y66D12A.15	Q95PZ4
T19B4.4	P91454
F09F3.5	P90820
F49E12.1	Q20616
Y40B1B.6	Q9XWP6
T08D10.2	Q22343
R13G10.2	Q21988
C24G6.6	O76383
B0240.2	Q17461
K12B6.2	O16382
B0240.4	Q8I4N3
T25G3.1	Q22790
F23F1.5	O17066
Y75B8A.13	Q9XW69
H39E23.3	Q564Q6
C35D10.17	Q8MNU7
C25A1.2	O17593
B0286.5	Q10924
K09H9.3	O44989
W08G11.4	O18178
R04B5.6	Q21703
R04B5.5	Q21702
K12G11.4	O45687
D2063.1	Q9UAT1
ZK792.1	Q95PW2
C09B8.1	Q17848
C01B10.3	Q17543
F46C5.8	P52879
F52H2.4	O17394
M60.6	Q9GYM6
Y71G12B.7	Q95XM6
C02F4.1	G5EEN3
F02E8.5	Q19124
K06A1.5	Q09406
T01D3.2	P90953
F38A6.3a	G5EGD2
D1014.8	Q18919
C01B12.3	O17206
C01B12.5	O17205
ZK688.2	P34672
C29F4.2	Q18303
B0564.3	Q17528
B0564.4	Q17529
R13.3	Q21973
C37A5.1	O62095
C07A9.8	P34319
F32B6.9	O45435
Y73F8A.11	Q9NA59
T20G5.4	P34577
C49A1.3	O17671
ZK849.5	O18304
C49A1.2	G5EFW5
C09B9.3	Q17851
C43G2.4	Q94175
T19C3.1	Q22566
ZK849.4	O18303
F14H3.2	O45363
R13A1.9	Q7YXH3
F32G8.4	Q19978
Y37E11AR.1	Q965X4
T19C3.3	Q10009
W03C9.4a	G5EGB2
Y17G7B.14	Q9XXI0
F54F7.1	Q20788
Y111B2A.16	Q9NEW8
ZC443.1	Q23320
C07D8.6	P91020
T08H10.1	Q22352
F53F1.2	P91997
Y39G8B.2	Q9U2J5
C07D8.5	P91021
F58E10.2	G5EDN4
F52C12.5	G5EGN3
C33D12.7	Q22909
C33D12.1	Q22910
T05A1.2	Q22183
R13A5.5	P17488
M142.4	Q93899
T13C5.4	Q22459
C15H9.4	Q18025
F20D1.9	Q93540
F55G1.5	Q20847
K11H3.7	Q7YWY7
F10F2.1	K8ESP0
F10F2.1	Q19317
T01H10.8	G5EFC7
F14B8.7	Q95QL0
H19J13.1	G5EDX5
F45F2.6	Q22977
F45F2.5	G4SFC1
F45F2.7	Q22976
D1065.1	O16196
F45F2.1	Q22980
F22A3.3	Q19693
Y37D8A.13	G5EFD5
C04A11.4	G5EDW5
ZK154.7	Q94316
C34H3.1	Q9N5X7
K03E6.7	Q21194
C03C10.4	P42171
Y48B6A.14	G5EFV4
W02D9.3	Q9XVG8
F19C6.3	Q09538
K01A6.4	Q21073
T06H11.4	G5EGH2
ZK287.5	Q23457
R10A10.2	P91404
C55B7.9	Q966M5
T07F12.4	Q22324
ZK770.1	O01635
T28F4.2	Q22851
F55G1.13	Q20852
C11E4.3	Q93205
C14B9.8	P34335
Y106G6H.8	Q9U2Z9
F47B8.13	Q564Y8
F47B8.14	Q564Y7
Y22D7AL.16	Q965P0
T27B1.2	Q22829
C17F4.8	Q965M5
F22E5.12	O16709
F22E5.6	O16711
ZC239.15	P91563
B0281.6	O16613
C40A11.3	Q9TZA9
T05E12.3	Q9XUR6
C40A11.4	Q9TZB0
C40A11.6	Q9TZA8
C40A11.2	Q9TZA7
F22E5.8	O16706
ZC239.4	P91558
ZC239.3	P91559
ZC239.16	P91564
ZC239.14	P91561
C40A11.7	Q9TZA6
K02F6.5	O16631
Y54G2A.18	G5EBI0
T22E5.5	Q27371
C03D6.5	Q17603
F10G7.3	Q19326
T20B12.8	P41848
C32F10.5	O01683
F47G4.6	Q9XTS5
F07H5.2	Q19185
K04G2.5	Q21224
F39G3.4	O16272
F55H2.5	P34465
C11E4.6	Q93203
C16H3.2	G5EC10
R07B1.2	Q09605
W01A11.4	G5EBV4
R07B1.10	Q09610
T10B10.8	G5ECZ5
M116.2	O44521
T25E12.5	O45819
F56C11.3	O44975
C17D12.2	G5EE68
C38D4.5	P46941
BE0003N10.2	Q965N4
Y47D3B.7	Q9XX00
T12D8.8	G5EE04
F59C12.1	Q21035
C45G7.5	Q5F4U0
Y71D11A.1	K8F801
R05H10.6	O62328
Y56A3A.33	Q9U220
Y39A1A.22	Q9XX10
R173.3	Q22008
F57B9.3	Q20935
F33D11.10	O44781
T04F8.6	Q22167
F19H8.1	O45380
VC5.2	Q9TYU4
R07E3.6	Q21811
W03A5.1	Q23136
C04G2.7	G5ED14
F27E5.2	G5ED66
R11D1.8	Q21930
Y48G9A.3	B3CJ34
F38E1.7	Q10459
W08D2.1	G5EG05
M28.5	Q21568
F58A4.10	P34477
Y87G2A.9	Q9U1Q1
Y71G12B.15	Q95XN7
T05E7.3	O01858
K07C5.8	G5EE12
Y105E8A.6	Q9NEZ5
F14D12.2	P50464
T03D8.2	Q9XTY5
F09G2.2	O17407
C47G2.2	Q18694
K10G6.1	P34683
C29F7.4	O17618
F13D11.3	Q19388
C04F12.8	Q9XVE7
F26A3.4	Q93592
C24H11.6	Q9XVD2
C06E4.3	Q17726
Y39A1A.11	Q9XX28
C36B1.1a	G5EF89
T05H4.1	O16526
ZK40.1	Q23087
F28B3.9	Q95R12
F55A11.5	Q20800
C01C10.3	Q11087
C06B3.5	Q17704
F11A5.12	O17795
F56D1.5	Q10130
C06B3.4	Q17703
F25G6.5	O16925
C04F6.5	Q11177
C10H11.3	P91039
C10H11.5	P91037
ZC443.5	Q23323
C10H11.4	P91038
T01G5.2	O18009
C44H9.1	Q18629
K08B4.4	Q9TYY4
C08F11.8	Q9U3Q6
C49A9.8	O44149
F47C10.6	O01558
ZC443.6	G5EGK7
C23G10.6	Q9GYR7
T19H12.11	Q3S1L2
H23N18.3	Q9TXZ4
R04B5.9	Q21706
H23N18.1	Q9TXZ6
F10D2.5	O16914
F10D2.7	O16916
H10D18.6	Q9N5N0
K04A8.10	Q94260
F01D4.2	O17757
C55H1.1	Q18872
C35A5.2	Q18470
C18C4.3	Q18081
F39G3.1	O16276
B0310.5	Q10941
T19H12.9	O01614
F10D2.6	O16915
H23N18.2	Q9TXZ5
Y39G10AR.6	Q86S61
K08B4.3	Q9TYY5
F10D2.11	O16922
R11A8.3	Q21922
F31F4.7	O17123
C07A9.6	P34317
F10D2.8	O16917
T04H1.8	Q22181
F29F11.2	G5EES5
ZC455.4	Q23334
T25B9.7	Q22770
C32C4.7	Q52GY8
F10D2.12	Q8MNX7
H23N18.4	Q9TXZ3
F35H8.6	Q20086
C03A7.12	O16507
F38H4.10	Q20186
Y66D12A.10	Q95Q05
R09A1.2	O61932
T23F11.1	P49596
F33A8.6	G5EDI3
C42D8.3	Q18580
C47E8.6	Q18689
F55A4.5	Q94239
Y82E9BR.22	Q7KWZ2
Y22D7AR.13	G5EGH0
C52B11.3	Q18775
F22D6.6	Q19731
T04C12.6	P0DM41
T04C12.5	P10984
T04C12.4	P0DM42
T25C8.2	O45815
T14A8.1	Q22472
R06A4.8	O62334
Y66D12A.22	Q9Y0V6
F45H11.5	Q95ZT5
F25H9.6	P91988
F28D1.9	Q19878
F25C8.4	Q9XV68
K10B3.9	P37209
B0546.1	O44441
K01G5.5	O17919
F01G10.7	O17766
F54F3.3	Q93789
Y57E12B.3	E2S7J2
F46B6.8	Q20449
K04A8.5	Q94252
R11G11.14	O16956
Y50E8A.7	Q9U276
ZC168.2	Q23247
C05E11.6	Q17662
W02B3.2	Q09639
Y43H11AL.3	Q95XZ5
C04F1.3	G5EC36
D1007.16	Q9TXQ9
C15H11.7	O17586
Y55F3AM.15	Q9N359
R119.4	O61708
C10A4.8	Q17895
F15B9.7	G5EDK5
R10F2.1	Q5F4W0
F11C7.4	Q19350
Y48A5A.2	Q86FN3
C34G6.4	G5EDF9
C47A10.1	G5EG58
ZK455.7	P34713
F22E10.1	Q19733
K08E7.9	P34712
T21E8.3	G5EG03
F22E10.2	Q19734
T21E8.2	Q22655
F22E10.3	G5EG61
DH11.3	Q19015
C54D1.1	Q18824
F43E2.4	O02086
F57A10.3	O17895
Y57G11C.1	O18227
Y50E8A.16	Q9U275
ZK1321.3	Q09369
ZK525.2	O46024
M03B6.2	Q93896
Y19D10A.12	Q9UAT3
C10E2.6	O17328
T02G5.12	Q22109
C01B4.9	Q9UAT3
Y75B8A.16	Q9U1S3
C11H1.2	Q17912
ZK1067.6	Q22708
Y17G7B.17	Q9XXH7
F49E8.4	Q20628
C47D2.2	Q22922
F08B6.2	G5ECT6
K02A4.2	P54406
ZC416.4	H2KZI0
T07A9.3	O44408
B0218.3	Q17446
Y51B9A.9	Q9XXC0
T21B6.3	Q22631
F19F10.9	O01524
ZK353.9	Q95ZI6
Y76A2B.5	Q9XWC9
R10H1.1	Q10043
F10C5.1	Q19294
T10F2.3	Q09353
C45B2.5	Q95YD1
C28D4.3	O02225
F26D10.10	Q9XVU2
K03H1.1	P34497
Y53C12A.2	O18210
R05G6.6	Q21751
K08F4.4	Q21353
W03G1.1	Q9UAY8
T22E5.2	Q22682
R02F11.4	O16366
F09G8.5	P34390
H20J04.8	Q9BLB6
SSSD1.1	Q22040
T03F7.1	G5EF43
Y18D10A.8	Q9XW13
M60.7	Q9GYM5
Y39A1B.3	Q9U2M1
Y39H10A.6	Q965W8
K04G11.4	Q93847
T05H4.5	O16521
Y56A3A.20	Q17345
C36F7.1	Q93348
B0524.2	Q9N5Z7
F25F8.2	Q17328
ZC317.3	G5EEZ3
F07B10.5	Q6BET0
T24D8.1	Q22741
ZC482.5	G5ECN1
F09G2.5	O17402
C43F9.9	Q7YTP9
C09G5.1	Q09453
Y39A3B.2	Q9N517
H35N03.1	G5ECJ0
F46F3.2	P90876
T15B7.16	O17041
Y73F8A.2	Q9NA62
F09C12.1	Q10052
F55D10.5	G5EDN0
C53D6.3	Q18812
C50B6.11	P91985
T20B12.9	P41849
T27E9.9	Q9U358
K10D6.1	Q21420
F12B6.3	O01792
Y71D11A.5	Q95Y52
F58G6.4	Q21005
Y113G7A.5	G5EEC1
F38E9.1	Q20177
F31F6.6	Q93655
B0285.6	P46556
F10G8.5	P36609
C44C1.3	P36608
K03E6.3	Q95ZR9
T05B11.3	P90961
C34F6.4	O17645
T14G8.1	Q22516
F26F12.7	G5EBZ4
F37A4.8	P41877
W06E11.1	Q23206
C03F11.3	Q11124
F11C1.3	Q19344
C46H11.11	G5EFZ9
C34D4.4	G8JY51
C54C8.7	O17705
T07D10.4	G5ED09
C35D10.14	Q18492
F08H9.8	Q19226
W02G9.4	O61901
H16D19.1	G5ED09
C06B8.7	O17575
C02C2.5	P34273
F17C8.1	Q19523
F09C8.2	O01299
H02F09.3	O76602
F31D5.4	Q19930
R10F2.5	O01911
F54D5.11	G5EG47
F08B4.6	Q966W3
R144.10	Q9BI75
F38H4.3	Q20178
K07C11.10	Q21273
Y38H6C.3	Q9XX55
C47G2.4	Q18695
Y57E12AL.5	Q9N337
Y54E10BR.8	Q9N3C6
F11H8.2	Q19358
W10G11.16	O44917
ZC482.1	O18276
F11A5.10	G5EBR3
C27H5.8	Q95QT7
F16D3.7	G5EBX8
C01F1.4	Q17553
F20B6.2	Q19626
Y110A7A.12	Q9N5A0
K07A1.12	P90916
K07A1.11	P90917
T01C3.1	Q22059
Y39A3CL.2	Q9N415
F22B5.7	G5EEM5
T08D2.8	A4F325
F54A3.2	Q9N4J7
ZK430.8	Q23490
ZK994.3	Q1ENI8
C16C8.2	P91060
C46A5.4	Q18647
K10B4.1	O17241
R08F11.7	O01892
T06D8.10	G5ECK5
K09C8.5	G5EG78
T23D8.8	O02326
Y108G3AL.7	G4SB35
C27A12.3	O01960
F43E2.2	O02092
F18C5.2	Q19546
F25G6.8	O16927
F25G6.9	O16928
T05G5.3	P34556
T27E9.3	G5ECH7
F30A10.6	Q93641
R151.9	Q21993
F54D10.7	Q9TZ84
C39E6.6	Q18534
T04A8.8	Q22144
F08F8.2	Q19207
R166.3	Q22004
K07A1.3	P90910
Y62E10A.12	Q9U1W8
C05D9.5	Q22888
R04A9.4	Q21693
F42G8.4	O44514
D1046.3	Q18934
F09B12.2	O62144
R13F6.5	Q21981
K02G10.1	Q21161
F59C6.2	Q93828
C16H3.1	Q94172
W09G10.3	O16638
Y54H5A.3	Q9N394
Y73E7A.4	Q9GUM7
K03A11.2	Q21168
C35B1.1	P52478
ZC8.6	Q23083
R11B5.1	Q21928
ZK1073.1	O02485
Y48G10A.3	Q9U283
Y54G11A.3	Q9XVZ6
W04A8.7	G5EGM3
C24G6.8	O76387
T23H2.3	P91494
F54E12.2	G5EEW5
F59A7.8	O16283
F19B2.5	Q9XXT0
F41H10.2	Q20301
F20D1.7	Q93539
F10F2.4	Q19312
W08A12.4	O01622
F11G11.10	P91248
F23F12.8	P46504
W05G11.4	O44903
F44F1.3	O02260
H25P06.4	Q9XU14
W04A4.4	O18165
Y53H1B.6	Q9XU14
F47F6.9	Q6F6K4
ZC101.2a	Q06561
Y42H9B.2	Q9N3X8
C14F11.3	Q17990
R03E9.1	G5EG44
Y75B12B.6	Q9XWB7
F21H11.3	Q19691
ZK328.8	Q95PX3
H14A12.4	O17212
Y73F8A.16	Q9NA56
F34D10.5	G5EDU6
C15H9.2	Q18030
R12H7.1	O01393
F08G12.10	Q9U3K5
F22F4.2	Q19746
Y8G1A.2	O44887
C36H8.2	Q9U3N4
R12E2.9	O61786
ZK792.2	Q23593
R09F10.4	Q23027
K02B2.4	Q21123
ZK770.3	O01634
ZK792.3	Q23594
R12E2.5	O61787
F13G3.8	Q27295
F26D11.10	O61966
Y47G6A.2	Q9N3R5
M110.7	Q21534
F54C8.3	P34441
C03B8.4	Q11107
C03C10.1	P42168
Y39G8C.2	Q9BHK8
C27D8.1	G5EBW7
C25H3.1	Q18189
F13C5.2	O76561
M01F1.7	G5EED9
Y54F10AR.1	Q965T2
Y71G12B.17	Q95XP0
T22A3.8	G5ECE3
F32A7.6	P91863
R05H5.4	Q21764
C03B1.5	Q11112
W08D2.8	G5EBM6
Y69E1A.3	Q9XW34
T25B9.5	Q22766
Y52D5A.2	Q9N4S6
F49E12.10	Q20612
Y54G2A.31	Q95XX0
F26H9.7	P91853
F38G1.3	Q4R176
R02F2.2	Q21653
K09F5.5	Q21404
Y51H4A.12	Q9U263
T12F5.4	O44757
T12D8.1	G5EGI1
Y2H9A.1	Q9NH52
F15E6.1	O44498
F41C6.1	P34710
C54D1.5	Q18823
Y39G8C.1	Q9BHK7
Y48B6A.3	Q9U299
F59B2.3	P34480
F35H8.5	Q20084
F56A8.6	O45577
K02B2.3	Q21121
C17E4.5	Q93233
EEED8.12	Q09301
EEED8.4	Q09295
T08B6.5	O44530
F56D2.7	O76337
B0365.1	P90731
D1005.1	P53585
F38B6.6	Q20144
F11C1.2	Q19343
F55F8.6	P91344
F45E1.6	Q10453
W05B10.1	Q27532
ZK131.3	P08898
K06C4.13	P08898
F55G1.2	P08898
F45F2.13	P08898
F17E9.10	P08898
K06C4.5	P08898
F07B7.5	P08898
ZK131.7	P08898
ZK131.2	P08898
T10C6.13	P08898
B0035.10	P08898
F22B3.2	P08898
F54E12.1	P08898
F08G2.3	P08898
E03A3.3	Q27489
M7.3	Q21593
C16A3.8	Q18033
Y73B3A.5	Q95XF0
R07C3.4	O16775
T08B1.6	O44560
R09E10.3	Q21872
C33D3.1	Q10655
ZK632.2	P34648
C42C1.5	A3QMC8
K05C4.2	Q9XUU9
T05F1.3	O18650
F37E3.1	O01763
C01B7.5	Q17550
C29F9.7	Q9TZC4
VZC374L.1	O01706
R05C11.3	Q9TYP9
W08E3.3	P91917
C01B12.2	O17208
F53H4.5	Q93779
C44F1.2	Q18624
Y41D4B.13	Q9NHC3
B0432.5	P90986
Y69H2.11	Q9U1T9
Y69H2.12	Q9U1T8
Y69H2.2	Q9XTS9
Y48G8AL.1	Q9BL11
Y37E11B.4	Q9TYN3
C43H6.9	Q18591
ZC196.7	O01623
K10D3.1	Q21415
Y47D3A.25	Q9U2C3
D1037.4	G5EFC1
T23H2.5	Q94148
C39F7.4	Q9UAQ6
Y95B8A.8	E9RKC7
C18B2.4	Q18075
D2013.6	Q18966
E01A2.6	Q966L3
F25H2.2	Q93566
F45E4.2	Q94230
F20D1.4	Q93537
Y57E12AM.1	Q965T1
ZC504.5	O18280
ZK622.2	Q23553
K09E4.5	Q9XU57
R10D12.12	P92012
T23C6.1	O02042
K04B12.1	O45657
M163.2	Q93902
W10C8.2	Q10666
ZK1320.6	Q09654
F45E4.1	Q94231
T04C10.1	Q8WQL7
C36B7.2	Q966P6
C36B7.1	Q966P5
K12H6.3	G5EEL7
T05A7.5	G5EEE1
T05A7.10	G5EE06
K08F8.3	G5EDR5
F59E12.13	G5EFP5
Y37D8A.2	Q9XWV2
Y54F10AM.8	Q9BL07
F09B12.3	O62146
F37A8.5	Q9U3G6
R90.1	Q22033
Y38H8A.3	O62426
C39H7.1	Q18553
F36H12.8	O76712
C08F8.6	Q17825
B0218.5	Q17448
F41G3.5	Q20288
W03G9.5	O44751
ZK596.2	Q23546
F54H5.2	P91332
Y66D12A.20	Q95PZ9
R13H9.6	Q966G1
C03C10.2	P42169
B0207.7	O01429
W06F12.3	O45897
C14A4.13	G5EFC2
C55B7.10	Q966M1
ZC581.2	O01773
F38E1.3	Q20160
ZK666.8	Q23566
Y47G6A.13	Q9N3T7
M7.7	Q21590
F33D11.7	O44777
F36H12.9	O76711
C50F4.10	Q18738
F53C3.1	Q9TXU0
F35C11.3	Q20018
